,0
202,1229513260753395713
203,1118050226298851328
204,1127258778490032128
205,1224401660774096897
206,1215326800810774529
207,1223687275441205254
208,1234149646936748032
209,817283745866776576
210,791702404970536960
211,1207994709819322372
212,1234061246590148608
213,1231003085314699265
214,1234032541918777345
215,1234020763616890881
216,1196773950128308225
217,1214829868699045888
218,1211320893227487237
219,1109463838309507072
220,1233934330042474499
221,1232428971226255361
222,1233878223731208193
223,902531953152405506
224,1176199278815002633
225,1203490671815995393
226,2339352076
227,4636335743
228,3439916963
229,1231400273001582592
230,1233726438408359937
231,1228763824188280834
232,1139052055732150272
233,1233668058943614976
234,84081503
235,1086237616910012416
236,1149603242889732098
237,1233120790566129666
238,68695303
239,1086901806972715008
240,1232954214151684096
241,116523612
242,954301934189527041
243,1231482733987274752
244,1046819535003770880
245,1233187942086123521
246,1231893683697541120
247,1233382233916018691
248,1217848616502669318
249,1233371108382007296
250,1233163229972639749
251,1233367167833452544
252,1111263650818523137
253,1052216196467179521
254,754078049306632195
255,1231114990666559488
256,1233027989064957952
257,1230345336868278272
258,959938730248327168
259,1233214663313305601
260,2360939884
261,1233173301813547009
262,1232414144835530754
263,28329084
264,1232514315426697216
265,1217982165260152832
266,934079791199916032
267,1233031557981593606
268,1044810401635069953
269,1230966152064622592
270,1232983315088584704
271,965935597662670850
272,1229468793166061569
273,1213431391926374402
274,1040768582693597186
275,1230053058962391040
276,1157461485494386690
277,1227238584035397641
278,909402630258139137
279,1232830469252747264
280,188331164
281,1229174588816396293
282,3007470322
283,995400586911797249
284,1231696783648133120
285,1230794237073121280
286,1222365846741245952
287,1232684502062948352
288,1174090044027617280
289,38315704
290,380372361
291,1232636576502624257
292,1232548332272308225
293,306926287
294,1232453854811181056
295,1232466995460919297
296,728641984580210689
297,1223774842282967041
298,1228437918060097536
299,1223210797930876928
300,1232393331554037760
301,1107049189903659011
302,1229909572070014977
303,1232357015458021378
304,1215753207802101760
305,24394949
306,2752819043
307,1198435524022804480
308,1232330654827925508
309,1125068498022084609
310,1191184014650023936
311,1191184711944724480
312,1191185263621529600
313,1191185751712636929
314,1191186440803278848
315,1232308410013474816
316,1171488631
317,521201589
318,1201219490773639168
319,1232244998499901440
320,1231590712329875457
321,1232183596078624770
322,1106866107711963136
323,975393780844003329
324,1232020162850803712
325,1232013785864560642
326,1232004029582102528
327,1229403155823300608
328,1232002516004548612
329,1200520550218633217
330,1231951809100558336
331,1192240207443251200
332,1228731055101874176
333,1110147996258353153
334,1144494536392974336
335,1224748257315827712
336,1110821700390797312
337,1231693842828668928
338,3063691348
339,3057203555
340,1231649455247708166
341,1228751108903821313
342,1231550259165384704
343,1231626205360742402
344,1231607379998969858
345,1231554897675530243
346,841382960
347,1100804327676014592
348,1231503864022667265
349,1228759697122938880
350,1228959188568739840
351,2946710963
352,1177483087808040961
353,983104809396879360
354,1231468177286221825
355,1231204175918313472
356,1177842969526886401
357,1192689542794534912
358,1171862672058531840
359,753745565624758272
360,1231004581238276098
361,906625798689476611
362,1225341561506091010
363,1230577425022582788
364,1020317312669356032
365,65398602
366,2201461531
367,1219006557914091521
368,1230382735509925888
369,1231300841988030464
370,1153044303758942209
371,1229042275734425600
372,1013177963293093889
373,1103987726347587584
374,1218250784640503809
375,1231272108405161987
376,1231238105488818177
377,461038907
378,1229196705989615618
379,1230563609631027201
380,1230532016916942849
381,1229606234887794688
382,3313296451
383,900699175305609216
384,1166864723243126785
385,4416236854
386,1231084045498404865
387,1143607265376833537
388,1027819146061312000
389,1220365432646983680
390,1231007345343332357
391,1230635506007990273
392,1230968588888133632
393,1181617896151244802
394,1142389789938868229
395,1230933560514748419
396,968585472078381056
397,1230935916883120128
398,1230924334941835264
399,1167938327246462976
400,1217588932474331136
401,1195704796839366656
402,1230881858801397761
403,1230879221930741760
404,1230873647348355073
405,1174959790490976256
406,2817886825
407,1230834935143059456
408,1214589978694561792
409,1002011227478986752
410,910138497893306368
411,1228473179125014540
412,1230663132726603782
413,1209203570828042241
414,1224746698947342338
415,1230596680585797635
416,2832363371
417,1230512565186441221
418,1228689985198362625
419,1228567205517971456
420,1229729048361869312
421,1230425830251208706
422,1219211266746658818
423,1230457887979442181
424,1077906096830980096
425,1224329496465170432
426,1230438974923182081
427,1202533850225659904
428,90171490
429,1225551369718915072
430,1095301974113873920
431,1230198314051756033
432,1226595306541854720
433,2832696825
434,2432968559
435,884758782923898880
436,3902138422
437,1105976948327632898
438,829022828603256832
439,1065915857891659776
440,610183017
441,1049692467560411136
