,id,screen_name,location,protected,verified,followers_count,friends_count,listed_count,favourites_count,statuses_count,created_at,default_profile,default_profile_image
718,1109522145741283328,Official_MoalTD,"Dwarka, India",False,False,237,1034,6,831,1168,Sat Mar 23 18:27:48 +0000 2019,False,False
7742,1377240518,netmonstersweb,Spain,False,False,116,448,10,34,501,Wed Apr 24 14:54:43 +0000 2013,False,False
7804,2542684843,SamTheWebb,"San Diego, CA",False,False,239,823,108,1338,1678,Tue Jun 03 03:18:35 +0000 2014,False,False
5288,773165092842016768,D_ofashandfire,"Oklahoma City, OK",False,False,366,462,23,28449,1245,Tue Sep 06 14:24:57 +0000 2016,False,False
8323,1898819814,kateeflemingg,"Seattle, WA",False,False,255,182,6,2713,543,Tue Sep 24 01:06:47 +0000 2013,False,False
5605,508112053,rafaelparedes_c,"Quito, Ecuador",False,False,170,969,8,2422,1160,Wed Feb 29 00:03:05 +0000 2012,False,False
6859,306225655,danivieira3,"Getafe, Spain",False,False,147,306,1,86,788,Fri May 27 14:19:22 +0000 2011,False,False
2354,800342975247093760,startupgrindber,Berlin,False,False,407,633,10,988,489,Sun Nov 20 14:20:09 +0000 2016,True,False
2014,29050365,robertqhe,"Distrito Federal, México",False,False,375,1765,5,1066,821,Sun Apr 05 19:59:36 +0000 2009,False,False
5902,118536996,oscartzgz,Mexico,False,False,142,1115,9,588,441,Mon Mar 01 00:37:47 +0000 2010,False,False
8708,176905860,nbordenave,@ Mdeo,False,False,229,423,13,400,1166,Tue Aug 10 19:12:01 +0000 2010,True,False
10985,280751193,elizabeth011685,Mexico,False,False,257,625,3,1203,1794,Mon Apr 11 23:34:22 +0000 2011,False,False
5842,523419774,lbrionesp,"Optimistyle!, Santiago, Chile",False,False,435,1242,17,199,1081,Tue Mar 13 16:28:21 +0000 2012,False,False
7663,461901096,SaraMardomingo,Madrid,False,False,72,170,7,110,655,Thu Jan 12 10:00:26 +0000 2012,False,False
9925,2893981720,ochojan,Nomad,False,False,533,2032,35,24,1174,Wed Nov 26 23:25:38 +0000 2014,True,False
6025,589209762,MimFerrer,Madrid (España),False,False,150,570,13,1315,1162,Thu May 24 13:39:51 +0000 2012,False,False
6946,4849343481,johnny_reina,"Lubbock, TX",False,False,369,1660,23,5978,751,Tue Jan 26 11:27:24 +0000 2016,False,False
9360,2440166767,WebDevKAB,San Francisco Bay Area,False,False,807,1861,34,618,447,Sat Apr 12 15:22:27 +0000 2014,True,False
10099,109162190,heycampbell,"Oakland, CA",False,False,224,498,8,107,567,Thu Jan 28 04:31:29 +0000 2010,False,False
3360,363939409,lauragllamas,"Madrid | Bilbao, España",False,False,884,2016,71,771,1331,Sun Aug 28 23:19:29 +0000 2011,False,False
5664,461902690,Diana_didz,"Bucharest, Romania",False,False,135,320,10,391,523,Thu Jan 12 10:03:48 +0000 2012,False,False
6789,246514358,mpgrosso,madrid,False,False,319,683,29,76,563,Wed Feb 02 22:51:12 +0000 2011,False,False
3085,50816816,aberouch,Madrid,False,False,1518,527,50,1162,1718,Thu Jun 25 23:36:58 +0000 2009,False,False
5036,779138949273051138,Tabarek_Ayad,Iraq,False,False,870,4999,31,3181,819,Fri Sep 23 02:02:56 +0000 2016,False,False
313,602895265,ulucaydemir,"Rotterdam, The Netherlands",False,False,50,1013,1,177,560,Fri Jun 08 16:37:45 +0000 2012,True,False
11212,209444617,JhonatanAcelas,Colombia,False,False,187,673,5,185,1365,Fri Oct 29 06:03:35 +0000 2010,False,False
